seller_state,seller_zip_code_prefix,geolocation_lat,geolocation_lng,total_reviews,avg_review_score,percentage_negative_reviews
GO,74645,-16.664457060457902,-49.244692822032036,1848,4.66,4.55
SP,12250,-22.953714882106723,-45.839550230520295,220,4.73,4.55
RS,98803,-28.29055251979835,-54.262511433078885,6912,4.17,6.25
MG,37570,-22.278485305030319,-46.371301551567363,2992,4.25,6.25
RJ,21340,-22.871018134717975,-43.356844914715346,4736,4.28,6.25
MG,36570,-20.754734638539308,-42.877519985294896,21344,4.38,6.25
SP,7152,-23.405071357071819,-46.470900137416457,4656,4.38,6.25
PR,82300,-25.420958481189381,-49.347410028410117,2496,4.44,6.25
DF,70740,-15.767955679976822,-47.891011727932764,1920,4.5,6.25
MG,32240,-19.956086026625705,-44.052121065826277,4320,4.5,6.25
RJ,23050,-22.906374170614942,-43.566410061329769,3808,4.5,6.25
SP,6700,-23.6094999322282,-46.932807614128613,4064,4.5,6.25
RJ,23080,-22.898539335408454,-43.56542140516347,1728,4.56,6.25
SP,3480,-23.578171603805536,-46.507307407444394,416,4.56,6.25
SP,14801,-21.790782716262655,-48.185502465188435,7008,4.62,6.25
SP,2242,-23.487614708512769,-46.603991023751767,2528,4.63,6.25
SP,7183,-23.440533988290781,-46.462814633644335,1184,4.69,6.25
SP,9080,-23.640443596560733,-46.5417422730077,4928,4.14,7.14
PR,82320,-25.404556648781742,-49.345467294001736,1414,4.21,7.14
SP,3001,-23.541734532716241,-46.614660294316927,406,4.21,7.14
SP,2189,-23.507787143908224,-46.567467709487808,392,4.36,7.14
SP,7013,-23.471988393375845,-46.525301593471511,2226,4.38,7.14
SP,3306,-23.54465173322405,-46.575712431114518,2744,4.4,7.14
DF,70645,-15.781852449476983,-47.934055062534242,406,4.43,7.14
RJ,28035,-21.756506023881578,-41.332045412788361,5754,4.43,7.14
RS,93608,-28.771317519978453,-50.464148001123128,280,4.43,7.14
SP,3185,-23.563384434881424,-46.583034589807177,1624,4.43,7.14
SP,83321,-25.446809987466871,-49.176972760759291,1148,4.43,7.14
BA,45820,-16.375216038691971,-39.5875514115943,2296,4.5,7.14
CE,60348,-3.7174904631035077,-38.599284757573812,364,4.5,7.14
SC,88495,-28.038737678812904,-48.631463327998624,2324,4.57,7.14
SP,13085,-22.791069250515491,-47.080998706912276,1988,4.61,7.14
DF,71825,-15.887537187682341,-48.017071767851824,392,4.71,7.14
SP,17602,-21.930547778284406,-50.498347513897649,7176,4.09,7.69
GO,74150,-16.696727724111284,-49.2674489444962,1300,4.15,7.69
SP,3178,-23.553470005511659,-46.587790320382531,1196,4.15,7.69
SP,1310,-23.561652948469515,-46.656021304307266,6110,4.23,7.69
SC,89460,-26.178429677156451,-50.391729228683573,41340,4.28,7.69
SC,89215,-26.333991661382438,-48.9002621420903,273,4.31,7.69
SP,2376,-23.457618907473133,-46.628105127627485,299,4.31,7.69
DF,72304,-15.867324605965779,-48.058868125529905,169,4.38,7.69
SP,9912,-23.6896126300087,-46.615597710192468,4524,4.42,7.69
MG,31210,-19.906712194756444,-43.948896502581682,2028,4.46,7.69
SP,1421,-23.563299264968794,-46.660153692457158,1430,4.46,7.69
SP,5639,-23.609249296342778,-46.740289716220133,1131,4.46,7.69
SP,7241,-23.4469773760785,-46.426683334998486,2639,4.54,7.69
SP,8280,-23.561189658844302,-46.474485843100091,3484,4.54,7.69
SP,9891,-23.685798014930239,-46.570892673849542,1430,4.62,7.69
RS,95098,-29.190671210121479,-51.187294850575327,564,4,8.33
MG,37074,-21.589520866289821,-45.448636862027016,144,4.04,8.33
PR,82400,-25.394747235498826,-49.344437579806964,3696,4.21,8.33
SP,2475,-23.479988957379497,-46.6448694888298,600,4.25,8.33
SP,3363,-23.562756485026309,-46.539130233721046,444,4.25,8.33
SP,5705,-23.625845549610297,-46.721159309975157,1188,4.25,8.33
SP,14270,-21.48348869998301,-47.36865063485142,1956,4.25,8.33
SP,4122,-23.60270543115811,-46.621768145651153,1464,4.29,8.33
MG,33400,-19.636520104484422,-43.899651426922645,6288,4.33,8.33
PR,81720,-25.513673225973893,-49.255606078327624,912,4.33,8.33
RJ,27700,-22.407672873089936,-43.66768976744023,3348,4.33,8.33
SP,11030,-23.984858304705913,-46.302069951463679,5784,4.33,8.33
SP,16200,-21.294953796324272,-50.343267355732749,39732,4.35,8.33
PR,82515,-25.395684474976704,-49.229948642263317,2400,4.38,8.33
SP,3087,-23.530395619220236,-46.565972356619191,3960,4.38,8.33
MG,33936,-19.805004607696645,-44.013321461967571,576,4.4,8.33
MG,37650,-22.755499744142991,-46.14001332890426,1152,4.42,8.33
PE,55325,-9.0248390051573182,-36.570200449720581,36,4.42,8.33
MG,36576,-20.699028840686488,-42.99946861920251,480,4.5,8.33
SP,13504,-22.39213658183408,-47.577681220068087,2616,4.5,8.33
SP,9121,-23.681514252303966,-46.500921807758068,4032,4.54,8.33
CE,62170,-3.9057269964787782,-40.746127558815267,143,3.64,9.09
SP,6766,-23.627685594073668,-46.778250333951576,1309,4,9.09
RS,95088,-29.1954433860579,-51.167060688259717,385,4.09,9.09
SC,88137,-27.6564209493744,-48.665839739218143,869,4.09,9.09
SP,2929,-23.4926878556952,-46.706337931567461,506,4.09,9.09
SP,3567,-23.5398958182945,-46.48962525685058,440,4.09,9.09
MG,34006,-19.980486288814671,-43.939814960582162,2893,4.18,9.09
SP,3543,-23.535007209563112,-46.514903811860748,330,4.18,9.09
SP,13023,-22.893848032534084,-47.061337022441947,880,4.18,9.09
SP,13561,-22.014451776962169,-47.90841744167092,1683,4.18,9.09
SP,17580,-22.103673430123632,-50.178936138507538,5610,4.18,9.09
PR,87045,-23.424138859333084,-51.895685857074895,2706,4.24,9.09
PR,85830,-24.296024477069249,-53.3145970174448,517,4.27,9.09
SP,3319,-23.544817298680812,-46.5621002441957,1342,4.27,9.09
SP,3963,-23.609526043821177,-46.480163698524166,418,4.27,9.09
SP,13060,-22.931980169327542,-47.111841491698542,7887,4.27,9.09
RS,95012,-29.172669488726473,-51.210729335090221,4224,4.32,9.09
SC,88330,-26.992704286772558,-48.632151504897195,22902,4.33,9.09
PR,84925,-23.789675719840961,-50.058695203268194,396,4.36,9.09
SP,2350,-23.460724077996762,-46.6016047944519,352,4.36,9.09
SP,2470,-23.484968674235564,-46.649150689517761,374,4.36,9.09
SP,8790,-23.528928233255041,-46.1716514884283,2992,4.36,9.09
SP,3694,-23.532071320207493,-46.476332563388063,2464,4.41,9.09
SP,9850,-23.725231104378487,-46.582035021221373,24024,4.41,9.09
RS,92020,-29.917004803844424,-51.1717653177083,1474,4.45,9.09
RS,96080,-31.751071747621019,-52.323201707599907,1056,4.45,9.09
SC,88370,-26.89066585414967,-48.655328387093959,13200,4.45,9.09
SP,15041,-20.790373567376044,-49.418262484540605,2398,4.45,9.09
RJ,26285,-22.749261034645642,-43.457434797409576,2992,4.55,9.09
SP,1552,-23.569490695195086,-46.611321773237293,649,4.55,9.09
PR,81020,-25.489784860457984,-49.287777552631013,1530,3.7,10
PR,87900,-22.929383785209303,-53.135872594270232,4760,3.92,10
MG,30220,-19.94011484944247,-43.919580245143244,2910,4,10
SC,89165,-27.231416404052254,-49.657476576171568,520,4,10
SC,88306,-26.939351585462539,-48.639367843516546,1980,4.1,10
SP,19814,-22.657399372321496,-50.409675965603661,3090,4.17,10
SP,3655,-23.525428760068142,-46.513806334872172,3770,4.19,10
SP,8541,-23.520391867562907,-46.374050869239724,660,4.2,10
SP,13601,-22.370061245002081,-47.38887462828356,3330,4.23,10
PR,83408,-25.36747499672607,-49.1841991315133,17400,4.28,10
MG,31980,-19.854615377340181,-43.914739731934134,920,4.3,10
RS,93700,-29.677045008814126,-51.060403440177389,6680,4.3,10
SC,89170,-27.221224290121654,-49.731481761265776,450,4.3,10
SP,2532,-23.499764018180496,-46.655470843566647,300,4.3,10
SC,88037,-27.60018256233101,-48.506916255070081,2900,4.35,10
SP,3448,-23.55372549220635,-46.522773265457637,470,4.4,10
PR,85501,-26.226411667052986,-52.674547177960442,2630,4.5,10
SP,7113,-23.463611332140694,-46.517676582553108,820,4.5,10
SP,7145,-23.414620232376251,-46.495092724030158,980,4.5,10
RJ,28605,-22.269903758517675,-42.519719314877712,920,4.6,10
RS,95034,-29.160194449589305,-51.189259393053348,2180,4.6,10
SP,9911,-23.689282735863006,-46.619714833598749,2010,4.7,10
RS,95625,-29.949823496703946,-50.119140078344614,1242,3.89,11.11
SP,13178,-22.804314962307636,-47.205963160895422,1674,3.89,11.11
SP,15137,-20.821706801126322,-49.492487237585365,144,3.94,11.11
SP,4087,-23.609430024757692,-46.660502270392072,1917,4,11.11
SP,9340,-23.671406718740268,-46.430267450470716,1665,4.11,11.11
SC,89224,-26.2644850091146,-48.80725552527538,15480,4.16,11.11
